DAY,Section,ROOM1,11-12,ROOM2,12-1,ROOM3,1-2,ROOM4,3-4,ROOM5,4-5
MON,ML_CS-1,X,X,X,X,X,X,C-LH-404,ML(DE),X,X
MON,ML_CS-2,X,X,X,X,X,X,C-LH-405,ML(DE),X,X
MON,ML_CS-3,X,X,X,X,X,X,X,X,C-LH-203,ML(DE)
MON,ML_CS-4,X,X,X,X,X,X,C-LH-201,ML(DE),X,X
MON,ML_CS-5,X,X,X,X,X,X,X,X,C-LH-301,ML(DE)
MON,ML_CS-6,X,X,X,X,X,X,X,X,C-LH-302,ML(DE)
MON,ML_CS-7,X,X,X,X,X,X,C-LH-202,ML(DE),X,X
MON,ML_CS-8,X,X,X,X,X,X,X,X,C-LH-303,ML(DE)
MON,ML_CS-9,X,X,X,X,X,X,X,X,C-LH-401,ML(DE)
MON,ML_CS-10,X,X,X,X,X,X,X,X,C-LH-002,ML(DE)
MON,ML_CS-11,X,X,X,X,X,X,X,X,C-LH-003,ML(DE)
MON,ML_CS-12,X,X,X,X,X,X,X,X,C-LH-004,ML(DE)
MON,ML_CS-13,X,X,X,X,X,X,X,X,C-LH-204,ML(DE)
MON,ML_CS-14,X,X,X,X,X,X,C-LH-203,ML(DE),X,X
MON,IOT_CS-1,X,X,X,X,X,X,X,X,C-LH-403,IOT(DE)
MON,IOT_CS-2,X,X,X,X,X,X,X,X,C-LH-404,IOT(DE)
MON,IOT_CS-3,X,X,X,X,X,X,X,X,C-LH-405,IOT(DE)
MON,IOT_CS-4,X,X,X,X,X,X,X,X,C-LH-201,IOT(DE)
MON,IOT_CS-5,X,X,X,X,X,X,X,X,C-LH-202,IOT(DE)
MON,IOT_CS-6,X,X,X,X,X,X,C-LH-403,IOT(DE),X,X
MON,NLP_CS-1,X,X,X,X,X,X,X,X,X,X
MON,NLP_CS-2,X,X,X,X,X,X,X,X,X,X
MON,NLP_CS-3,X,X,X,X,X,X,X,X,X,X
MON,DA_CS-1,X,X,X,X,X,X,X,X,X,X
MON,DA_CS-2,X,X,X,X,X,X,X,X,X,X
MON,DA_CS-3,X,X,X,X,X,X,X,X,X,X
MON,DA_CS-4,X,X,X,X,X,X,X,X,X,X
MON,DA_CS-5,X,X,X,X,X,X,X,X,X,X
MON,DA_CS-6,X,X,X,X,X,X,X,X,X,X
MON,DA_CS-7,X,X,X,X,X,X,X,X,X,X
MON,DA_CS-8,X,X,X,X,X,X,X,X,X,X
MON,DA_CS-9,X,X,X,X,X,X,X,X,X,X
MON,DA_CS-10,X,X,X,X,X,X,X,X,X,X
MON,DA_CS-11,X,X,X,X,X,X,X,X,X,X
MON,DA_CS-12,X,X,X,X,X,X,X,X,X,X
MON,DA_CS-13,X,X,X,X,X,X,X,X,X,X
MON,DA_CS-14,X,X,X,X,X,X,X,X,X,X
MON,DA_CS-15,X,X,X,X,X,X,X,X,X,X
MON,DA_CS-16,X,X,X,X,X,X,X,X,X,X
MON,DA_CS-17,X,X,X,X,X,X,X,X,X,X
,,,,,,,,,,,
TUE,ML_CS-1,X,X,X,X,X,X,X,X,X,X
TUE,ML_CS-2,X,X,X,X,X,X,X,X,X,X
TUE,ML_CS-3,X,X,X,X,X,X,X,X,X,X
TUE,ML_CS-4,X,X,X,X,X,X,X,X,X,X
TUE,ML_CS-5,X,X,X,X,X,X,X,X,X,X
TUE,ML_CS-6,X,X,X,X,X,X,X,X,X,X
TUE,ML_CS-7,X,X,X,X,X,X,X,X,X,X
TUE,ML_CS-8,X,X,X,X,X,X,X,X,X,X
TUE,ML_CS-9,X,X,X,X,X,X,X,X,X,X
TUE,ML_CS-10,X,X,X,X,X,X,X,X,X,X
TUE,ML_CS-11,X,X,X,X,X,X,X,X,X,X
TUE,ML_CS-12,X,X,X,X,X,X,X,X,X,X
TUE,ML_CS-13,X,X,X,X,X,X,X,X,X,X
TUE,ML_CS-14,X,X,X,X,X,X,X,X,X,X
TUE,IOT_CS-1,X,X,X,X,X,X,X,X,X,X
TUE,IOT_CS-2,X,X,X,X,X,X,X,X,X,X
TUE,IOT_CS-3,X,X,X,X,X,X,X,X,X,X
TUE,IOT_CS-4,X,X,X,X,X,X,X,X,X,X
TUE,IOT_CS-5,X,X,X,X,X,X,X,X,X,X
TUE,IOT_CS-6,X,X,X,X,X,X,X,X,X,X
TUE,NLP_CS-1,X,X,X,X,X,X,C-LH-404,NLP(DE),X,X
TUE,NLP_CS-2,X,X,X,X,X,X,X,X,C-LH-201,NLP(DE)
TUE,NLP_CS-3,X,X,X,X,X,X,X,X,C-LH-202,NLP(DE)
TUE,DA_CS-1,X,X,X,X,X,X,C-LH-405,DA(DE),X,X
TUE,DA_CS-2,X,X,X,X,X,X,X,X,C-LH-203,DA(DE)
TUE,DA_CS-3,X,X,X,X,X,X,C-LH-201,DA(DE),X,X
TUE,DA_CS-4,X,X,X,X,X,X,X,X,C-LH-301,DA(DE)
TUE,DA_CS-5,X,X,X,X,X,X,C-LH-202,DA(DE),X,X
TUE,DA_CS-6,X,X,X,X,X,X,C-LH-203,DA(DE),X,X
TUE,DA_CS-7,X,X,X,X,X,X,C-LH-301,DA(DE),X,X
TUE,DA_CS-8,X,X,X,X,X,X,X,X,C-LH-302,DA(DE)
TUE,DA_CS-9,X,X,X,X,X,X,C-LH-302,DA(DE),X,X
TUE,DA_CS-10,X,X,X,X,X,X,C-LH-303,DA(DE),X,X
TUE,DA_CS-11,X,X,X,X,X,X,C-LH-401,DA(DE),X,X
TUE,DA_CS-12,X,X,X,X,X,X,X,X,C-LH-303,DA(DE)
TUE,DA_CS-13,X,X,X,X,X,X,X,X,C-LH-401,DA(DE)
TUE,DA_CS-14,X,X,X,X,X,X,X,X,C-LH-002,DA(DE)
