DAY,Section,ROOM1,8-9,9-10,10-11,ROOM2,11-12,12-1,1-2,2-3,3-4,4-5,5-6
MON,CSE-1,C-WL-103,TTL,T&T(L),T&T(L),C-LH-202,SPM,X,X,X,X,X,X
TUE,CSE-1,C-LH-404,X,X,SPM,C-LH-202,CD,X,X,X,X,X,X
WED,CSE-1,C-WL-103,CC,CC(L),CC(L),---,X,X,X,X,X,X,X
THU,CSE-1,---,X,X,X,C-LH-404,CD,CC,X,X,X,X,X
FRI,CSE-1,C-LH-202,CC,SPM,CD,---,X,X,X,X,X,X,X
,,,,,,,,,,,,,
MON,CSE-2,C-LH-405,X,X,SPM,C-LH-203,CD,X,X,X,X,X,X
TUE,CSE-2,C-WL-103,TTL,T&T(L),T&T(L),C-LH-203,CC,X,X,X,X,X,X
WED,CSE-2,C-LH-405,CD,SPM,CC,---,X,X,X,X,X,X,X
THU,CSE-2,C-LH-202,X,X,CD,C-WL-103,CC,CC(L),CC(L),X,X,X,X
FRI,CSE-2,---,SPM,X,X,---,X,X,X,X,X,X,X
,,,,,,,,,,,,,
MON,CSE-3,C-LH-201,X,CD,SPM,C-LH-301,CC,X,X,X,X,X,X
TUE,CSE-3,C-LH-405,CD,CC,SPM,---,X,X,X,X,X,X,X
WED,CSE-3,C-WL-201,TTL,T&T(L),T&T(L),---,X,X,X,X,X,X,X
THU,CSE-3,C-LH-203,X,X,SPM,C-LH-405,CD,X,X,X,X,X,X
FRI,CSE-3,C-WL-101,CC,CC(L),CC(L),---,X,X,X,X,X,X,X
,,,,,,,,,,,,,
MON,CSE-4,C-LH-202,X,X,CD,C-WL-101,CC,CC(L),CC(L),X,X,X,X
TUE,CSE-4,C-LH-201,X,X,SPM,C-LH-301,CD,CC,X,X,X,X,X
WED,CSE-4,C-LH-201,X,CD,CC,---,X,X,X,X,X,X,X
THU,CSE-4,C-WL-101,TTL,T&T(L),T&T(L),C-LH-201,SPM,X,X,X,X,X,X
FRI,CSE-4,C-LH-203,X,X,SPM,---,X,X,X,X,X,X,X
,,,,,,,,,,,,,
MON,CSE-5,C-LH-203,X,X,CC,C-LH-302,SPM,X,X,X,X,X,X
TUE,CSE-5,C-LH-202,X,X,CD,C-WL-101,CC,CC(L),CC(L),X,X,X,X
WED,CSE-5,C-LH-202,X,SPM,CD,---,X,X,X,X,X,X,X
THU,CSE-5,C-LH-301,X,CC,SPM,C-LH-202,CD,X,X,X,X,X,X
FRI,CSE-5,C-WL-102,TTL,T&T(L),T&T(L),---,X,X,X,X,X,X,X
,,,,,,,,,,,,,
MON,CSE-6,C-WL-201,TTL,T&T(L),T&T(L),C-LH-303,SPM,X,X,X,X,X,X
TUE,CSE-6,C-LH-203,CD,SPM,CC,---,X,X,X,X,X,X,X
WED,CSE-6,C-WL-202,CC,CC(L),CC(L),---,X,X,X,X,X,X,X
THU,CSE-6,C-LH-302,CD,CC,X,---,X,X,X,X,X,X,X
FRI,CSE-6,C-LH-301,CD,SPM,X,---,X,X,X,X,X,X,X
,,,,,,,,,,,,,
MON,CSE-7,C-LH-003,X,X,SPM,C-LH-204,CD,X,X,X,X,X,X
TUE,CSE-7,C-WL-301,TTL,T&T(L),T&T(L),C-LH-002,CC,X,X,X,X,X,X
WED,CSE-7,C-LH-003,CD,SPM,CC,---,X,X,X,X,X,X,X
THU,CSE-7,C-LH-204,X,SPM,CD,C-WL-202,CC,CC(L),CC(L),X,X,X,X
FRI,CSE-7,---,X,X,X,---,X,X,X,X,X,X,X
,,,,,,,,,,,,,
MON,CSE-8,C-LH-004,X,X,SPM,C-LH-205,CD,X,X,X,X,X,X
TUE,CSE-8,C-LH-002,X,CD,SPM,C-LH-003,CC,X,X,X,X,X,X
